nursery_school_code,zero,one,two,three,four,five
200770,6,10,11,11,11,11
200360,6,10,12,14,14,14
200910,,8,13,,,
200915,,,,13,13,14
200680,6,11,11,11,11,11
200940,5,10,11,18,18,18
200010,9,11,15,16,16,16
100010,,16,20,24,24,24
200500,,8,8,10,10,10
200370,4,7,8,17,17,17
200375,5,7,8,,,
201120,,10,12,14,14,14
201130,,10,12,14,14,14
201140,,10,12,14,14,14
100020,10,12,18,19,19,19
100420,9,12,14,18,18,18
200780,8,9,9,9,9,9
200790,6,15,15,15,15,15
200020,,12,14,15,15,15
200550,,10,10,10,10,10
200800,,30,32,36,36,36
200290,9,16,20,20,20,20
210120,,6,6,,,
100030,,12,16,17,17,18
210030,4,4,4,,,
200560,7,28,40,50,50,50
200030,12,15,18,18,18,18
210060,5,7,7,,,
201190,,4,8,11,11,12
200210,12,15,15,16,16,16
200950,5,8,10,15,15,15
200270,6,12,15,15,15,15
100040,15,18,23,23,23,23
200810,,10,10,10,10,10
210090,5,5,6,,,
201170,,10,12,15,15,15
206010,9,10,10,15,15,15
100470,6,15,18,20,20,21
200960,,16,16,16,16,16
210080,,9,10,,,
100410,6,7,9,9,9,9
200820,6,10,14,14,14,14
210050,6,6,7,,,
200600,6,7,10,13,13,13
210170,3,4,5,,,
200050,9,20,22,24,25,25
100440,9,12,15,24,27,30
200060,8,9,13,18,18,18
200610,6,8,8,8,8,8
201180,,10,12,20,20,20
200700,6,20,26,26,26,26
200460,6,12,12,12,12,12
200625,,,,15,15,15
200620,6,15,15,,,
200970,,5,7,12,12,12
200630,,17,23,27,27,27
200380,6,16,18,20,20,20
100140,10,14,17,24,27,30
200390,6,16,18,20,20,20
200980,6,9,9,14,14,14
220010,4,4,4,,,
100460,11,17,24,25,26,26
200420,6,20,22,24,24,24
100060,11,20,24,24,24,24
200830,6,14,15,15,15,15
201150,,15,18,20,20,20
200040,,15,20,20,20,20
200220,9,15,18,19,19,19
200190,9,18,23,23,23,24
200570,6,8,9,9,9,9
200690,6,7,8,8,8,8
200160,12,20,24,26,26,26
200230,,15,18,18,18,18
200520,6,10,11,11,11,11
200990,6,8,10,15,15,15
200340,9,20,22,23,23,23
100430,10,14,18,24,27,27
200180,6,12,12,15,15,15
210010,4,4,4,,,
200170,6,13,18,18,18,18
200405,12,40,,,,
200400,6,30,71,71,72,72
200350,9,13,13,14,14,14
200580,,16,18,19,19,19
200510,6,9,10,10,10,10
200430,9,42,42,50,50,50
205020,9,15,16,20,20,20
100080,,12,14,16,17,18
200140,12,15,23,23,23,23
200455,9,40,,,,
200450,6,10,51,51,52,52
200130,9,18,20,22,24,24
210020,4,4,4,,,
200150,9,12,15,20,20,20
205010,6,12,12,20,20,20
200330,9,12,15,18,18,18
201000,,15,15,17,17,17
200590,5,5,5,13,13,13
200260,12,15,23,23,23,23
100090,,14,17,17,17,17
201160,,16,18,20,20,20
201010,,10,12,12,12,12
200240,,20,24,26,26,26
200300,6,15,24,24,24,24
200440,6,15,16,18,18,18
205030,9,15,16,20,20,20
200840,6,13,13,13,13,13
100110,,10,15,18,23,23
100120,12,13,14,24,28,29
201020,6,10,11,11,11,11
100400,12,15,18,22,26,27
100170,11,20,22,24,29,29
210130,,8,8,,,
200850,5,8,8,8,8,8
200640,6,12,14,16,16,16
200200,9,12,14,15,15,15
200545,,12,,,,
200540,6,20,40,40,40,40
201030,6,9,10,18,18,18
210100,3,8,8,,,
200280,6,12,15,15,15,15
100480,10,16,24,24,27,30
200470,6,20,20,25,25,25
210140,,6,6,,,
200310,6,8,8,8,8,8
100150,,7,10,18,18,19
200860,6,15,17,18,18,18
200530,6,14,15,15,15,15
200920,6,8,8,10,10,10
100160,,15,18,22,24,24
200255,6,7,7,,,
200250,9,14,18,25,25,25
200070,9,12,14,15,15,15
200650,6,10,12,15,15,15
200410,,9,12,13,13,13
200320,6,12,16,18,19,19
200930,6,10,11,11,11,11
200870,,9,9,9,9,9
210040,,5,6,,,
100210,,11,16,21,22,22
100540,12,15,18,20,20,20
200710,6,12,15,15,15,15
201040,,6,9,15,15,15
100200,,15,18,21,22,22
100220,,14,20,21,22,24
200660,6,10,10,,,
200665,,,,10,10,10
200880,6,10,11,11,11,11
200480,16,25,28,30,31,31
100230,,13,18,20,24,24
201050,3,10,12,15,15,15
210150,3,4,5,,,
100190,11,17,18,22,22,22
100510,11,17,24,28,30,30
100250,,12,14,24,25,25
200720,6,10,12,15,15,15
200080,6,10,18,22,22,22
201060,6,10,12,19,19,19
210160,6,6,6,,,
200740,9,12,12,12,12,12
200090,6,11,18,21,22,22
210070,5,7,7,,,
201070,6,10,11,14,14,14
100270,10,14,17,24,28,29
100520,10,14,17,22,24,24
100290,11,16,18,21,22,22
201080,6,10,11,12,12,12
100320,9,14,19,20,20,21
100310,,12,15,19,19,19
100300,,12,14,18,18,18
200760,,30,30,30,30,30
200890,6,10,11,11,11,11
200100,12,19,19,20,20,20
210110,6,6,7,,,
100330,,14,18,20,20,20
201090,6,14,14,22,22,22
201100,,10,12,12,12,12
201110,,8,10,15,15,15
100450,10,13,17,22,23,24
100360,,17,18,22,23,24
100530,10,14,17,21,24,25
100380,20,25,25,,,
200900,,11,11,11,11,11
200670,6,12,18,18,18,18
200110,9,12,15,18,18,18
200750,6,15,18,20,20,20
100340,,16,19,20,20,22
200490,6,10,11,11,11,11
100490,6,15,18,20,20,21
200730,6,14,15,15,15,15
100390,12,17,18,24,24,24
200120,,8,12,15,15,15
100500,9,18,20,24,24,24
