nursery_code,age,num
200770,0,6
200770,1,10
200770,2,11
200770,3,11
200770,4,11
200770,5,11
200360,0,6
200360,1,10
200360,2,12
200360,3,14
200360,4,14
200360,5,14
200910,1,8
200910,2,13
200915,3,13
200915,4,13
200915,5,14
200680,0,6
200680,1,11
200680,2,11
200680,3,11
200680,4,11
200680,5,11
200940,0,5
200940,1,10
200940,2,11
200940,3,18
200940,4,18
200940,5,18
200010,0,9
200010,1,11
200010,2,15
200010,3,16
200010,4,16
200010,5,16
100010,1,16
100010,2,20
100010,3,24
100010,4,24
100010,5,24
200500,1,8
200500,2,8
200500,3,10
200500,4,10
200500,5,10
200370,0,4
200370,1,7
200370,2,8
200370,3,17
200370,4,17
200370,5,17
200375,0,5
200375,1,7
200375,2,8
201120,1,10
201120,2,12
201120,3,14
201120,4,14
201120,5,14
201130,1,10
201130,2,12
201130,3,14
201130,4,14
201130,5,14
201140,1,10
201140,2,12
201140,3,14
201140,4,14
201140,5,14
100020,0,10
100020,1,12
100020,2,18
100020,3,19
100020,4,19
100020,5,19
100420,0,9
100420,1,12
100420,2,14
100420,3,18
100420,4,18
100420,5,18
200780,0,8
200780,1,9
200780,2,9
200780,3,9
200780,4,9
200780,5,9
200790,0,6
200790,1,15
200790,2,15
200790,3,15
200790,4,15
200790,5,15
200020,1,12
200020,2,14
200020,3,15
200020,4,15
200020,5,15
200550,1,10
200550,2,10
200550,3,10
200550,4,10
200550,5,10
200800,1,30
200800,2,32
200800,3,36
200800,4,36
200800,5,36
200290,0,9
200290,1,16
200290,2,20
200290,3,20
200290,4,20
200290,5,20
210120,1,6
210120,2,6
100030,1,12
100030,2,16
100030,3,17
100030,4,17
100030,5,18
210030,0,4
210030,1,4
210030,2,4
200560,0,7
200560,1,28
200560,2,40
200560,3,50
200560,4,50
200560,5,50
200030,0,12
200030,1,15
200030,2,18
200030,3,18
200030,4,18
200030,5,18
210060,0,5
210060,1,7
210060,2,7
201190,1,4
201190,2,8
201190,3,11
201190,4,11
201190,5,12
200210,0,12
200210,1,15
200210,2,15
200210,3,16
200210,4,16
200210,5,16
200950,0,5
200950,1,8
200950,2,10
200950,3,15
200950,4,15
200950,5,15
200270,0,6
200270,1,12
200270,2,15
200270,3,15
200270,4,15
200270,5,15
100040,0,15
100040,1,18
100040,2,23
100040,3,23
100040,4,23
100040,5,23
200810,1,10
200810,2,10
200810,3,10
200810,4,10
200810,5,10
210090,0,5
210090,1,5
210090,2,6
201170,1,10
201170,2,12
201170,3,15
201170,4,15
201170,5,15
206010,0,9
206010,1,10
206010,2,10
206010,3,15
206010,4,15
206010,5,15
100470,0,6
100470,1,15
100470,2,18
100470,3,20
100470,4,20
100470,5,21
200960,1,16
200960,2,16
200960,3,16
200960,4,16
200960,5,16
210080,1,9
210080,2,10
100410,0,6
100410,1,7
100410,2,9
100410,3,9
100410,4,9
100410,5,9
200820,0,6
200820,1,10
200820,2,14
200820,3,14
200820,4,14
200820,5,14
210050,0,6
210050,1,6
210050,2,7
200600,0,6
200600,1,7
200600,2,10
200600,3,13
200600,4,13
200600,5,13
210170,0,3
210170,1,4
210170,2,5
200050,0,9
200050,1,20
200050,2,22
200050,3,24
200050,4,25
200050,5,25
100440,0,9
100440,1,12
100440,2,15
100440,3,24
100440,4,27
100440,5,30
200060,0,8
200060,1,9
200060,2,13
200060,3,18
200060,4,18
200060,5,18
