name,0,1,2,3,4,5
おはよう保育園 清澄白河,25,26 【優】,ー,,,
うぃず清澄白河駅前,24 【優】,26 【優】,26 【優】,24,ー,
ワーカーズコープ新大橋のびっこ（本園）,,26 【優】,残3,,,
ワーカーズコープ新大橋のびっこ（分園）,,,,残2,残5,残5
ゆめの森,24 【優】,27,,,残1,残1
太陽の子 森下三丁目,24 【優】,26 【優】,25,残6,残3,残 12
神愛,残2,26 【優】,24,なし,,残2
森下,,26 【優】,26,残5,残1,残1
あゆみ,,26 【優】,,残1,残1,残1
グローバルキッズ深川森下園（本園）,24 【優】,26 【優】,ー,残3,なし,残1
グローバルキッズ深川森下園（分園）,20,残1,なし,,,
グローバルキッズ森下五丁目園,,26 【優】,26 【優】,残6,残 10,残 14
グローバルキッズ平野園,,26 【優】,26 【優】,残2,残 12,残 14
さくらさくみらい三好,,26 【優】,26,残6,残 13,残 14
白河,24 【優】,26 【優】,26 【優】,なし,,
白河かもめ,24 【優】,28,26 【優】,26 【優】,ー,
グローバルキッズ白河一丁目園,24 【優】,ー,,,,残2
グローバルキッズ清澄白河園,24 【優】,26 【優】,,,なし,
子供の村,,26 【優】,なし,ー,残2,残4
小鳩保育園 清澄白河,,残1,,残1,残1,残1
まなびの森保育園 白河,,26 【優】,28,26 【優】,,残2
さんいく保育園 清澄白河,24 【優】,26 【優】,26,なし,残1,
たかもり,,残3,残1,,,
深川一丁目,,26 【優】,26 【優】,ー,,なし
おうち保育園 門前仲町,24 【優】,ー,残1,,,
ナーサリールームベリーベアー深川冬木,24 【優】,26 【優】,26 【優】,26 【優】,ー,残2
まこと,24 【優】,26 【優】,26 【優】,,,
小鳩スマート保育所冬木,24 【優】,26 【優】,なし,,,
富岡クローバー,,26 【優】,26,残4,残9,残 12
アスクもんなか,24 【優】,26 【優】,,ー,,
さくらさくみらい富岡,24 【優】,26 【優】,26 【優】,残3,残1,残2
木下の保育園 富岡,26,26,24,残1,,
古石場,24 【優】,27,26 【優】,,,ー
ポピンズナーサリースクール越中島,,26 【優】,ー,,,なし
小規模保育室ラッキーココナッツ,残1,,ー,,,
キッズスマイル江東千石,,26 【優】,25 【優】,なし,残 11,残 14
文化教養学園,なし,ー,,24,,
千田,24 【優】,26 【優】,26 【優】,27,残1,なし
マミー保育園扇橋,,26 【優】,,,,
まかな,,26 【優】,ー,,,
猿江,24 【優】,ー,26 【優】,,,
