code,name,kind,address,phone_number,min_age_type,opening_type,overtime_condition_type,url
200770,おはよう保育園 清澄白河,private,東京都江東区清澄1-7-12,03-6240-3215,fifty_seven_days,b,zero_year_old_class,https://www.ttkids.co.jp/
200360,うぃず清澄白河駅前,private,東京都江東区清澄3-10-5,03-6458-5016,fifty_seven_days,d2,one_year_old,https://www.mom.ed.jp/hoikuen/t_kiyosumishirakawaekimae.html
200910,ワーカーズコープ新大橋のびっこ（本園）,private,東京都江東区新大橋2-17-9,03-5625-2205,one_year,b,,https://so-nobikko.roukyou.gr.jp/
200915,ワーカーズコープ新大橋のびっこ（分園）,private,東京都江東区新大橋3-16-4,03-6240-2670,three_years,b,,https://so-nobikko.roukyou.gr.jp/
200680,ゆめの森,private,東京都江東区森下1-2-2,03-6666-9088,fifty_seven_days,b2,one_year_old,http://www.milkywaygroup.org/intro/en20.html
200940,太陽の子 森下三丁目,private,東京都江東区森下3-5-26,03-6659-3621,fifty_seven_days,b2,zero_year_old_class,https://www.kidslife-nursery.com/facility/tokyo/koutou/morishita3/
200010,神愛,private,東京都江東区森下3-10-7,03-3633-1580,fifty_seven_days,a,one_year_old,https://fukushi.unchusha.com/shinnai/index.html
100010,森下,public,東京都江東区森下3-14-6,03-3635-1537,one_year,b,,https://www.city.koto.lg.jp/280310/kodomo/hoiku/kuritsu/morishitahoiku.html
200500,あゆみ,private,東京都江東区森下3-18-10,03-5625-2030,one_year,b2,,http://www.koto-tomosodachi.com/ayumi/
200370,グローバルキッズ深川森下園（本園）,private,東京都江東区森下4-10-8 アプリーレ菊川2・3F,03-3635-1666,fifty_seven_days,b2,zero_year_old_class,https://www.gkids.co.jp/facilities/nursery_058.html
200375,グローバルキッズ深川森下園（分園）,private,東京都江東区高橋2-4 ロワール清澄白河1F,03-3632-1755,fifty_seven_days,b2,zero_year_old_class,https://www.gkids.co.jp/facilities/nursery_050.html
201120,グローバルキッズ森下五丁目園,private,東京都江東区森下5丁目11-2,03-6659-6855,one_year,b2,,https://www.gkids.co.jp/facilities/nursery_175.html
201130,グローバルキッズ平野園,private,東京都江東区平野1丁目3-10,03-5809-8872,one_year,b2,,https://www.gkids.co.jp/facilities/nursery_176.html
201140,さくらさくみらい三好,private,東京都江東区三好2-6-11,03-5875-9839,one_year,b2,,https://www.sakura-39.jp/hoiku/miyoshi/
100020,白河,public,東京都江東区白河1-7-1,03-3641-1198,fifty_seven_days,b,one_year_old_class,https://www.city.koto.lg.jp/280311/kodomo/hoiku/kuritsu/shirakawahoiku.html
100420,白河かもめ,public_private,東京都江東区白河1-5-1-101,03-3643-7671,fifty_seven_days,b2,one_year_old_class,https://tokyojidokyokai.com/contents/Facility/kamome/
200780,グローバルキッズ白河一丁目園,private,東京都江東区白河1-7-5 クレドラテース1階,03-3641-6767,fifty_seven_days,b2,zero_year_old_class,https://www.gkids.co.jp/facilities/nursery_159.html
200790,グローバルキッズ清澄白河園,private,東京都江東区白河3-1-11,03-5809-8473,fifty_seven_days,b2,zero_year_old_class,https://www.gkids.co.jp/facilities/nursery_160.html
200020,子供の村,private,東京都江東区白河3-3-6,03-3641-1022,one_year,a2,,http://www.kodomonomura.ed.jp/
200550,小鳩保育園 清澄白河,private,東京都江東区白河3-10-8,03-3630-5810,one_year,d2,,https://www.kobato.net/kiyosumi/
200800,まなびの森保育園 白河,private,東京都江東区白河4-9-2,03-6240-3043,one_year,b2,,http://kodomonomori.co.jp/wr/
200290,さんいく保育園 清澄白河,private,東京都江東区白河4-9-25パークハウス清澄白河タワー2F,03-3643-0319,fifty_seven_days,d2,one_year_old,https://www.san-ikukai.or.jp/kiyosumi/
210120,たかもり,sho_a,東京都江東区高橋6-4,03-5600-2160,one_year,f,,https://www.city.koto.lg.jp/280307/shisetsuannai/kosodate/hoikujigyo/takamori.html
100030,深川一丁目,public,東京都江東区深川1-6-15-101,03-3643-4845,one_year,b,,https://www.city.koto.lg.jp/280312/kodomo/hoiku/kuritsu/fugagawaichihoiku.html
210030,おうち保育園 門前仲町,sho_a,東京都江東区深川2-16-10,03-6240-3955,fifty_seven_days,b,one_year_old_class,https://mirai.florence.or.jp/ouchi/monzennakacho/
200560,ナーサリールームベリーベアー深川冬木,private,東京都江東区冬木1-5,03-6240-3955,fifty_seven_days,b2,one_year_old_class,https://ness-corpo.co.jp/nursery/fuyuki/
200030,まこと,private,東京都江東区冬木16-7,03-3641-1428,fifty_seven_days,a,one_year_old,http://makoto-hoikuen.com/
210060,小鳩スマート保育所冬木,sho_a,東京都江東区冬木22-24,03-6458-5404,fifty_seven_days,b,zero_year_old_class,https://www.kobato.net/fuyuki/
201190,富岡クローバー,private,東京都江東区富岡1丁目4-10,03-6458-8322,one_year,a2,,https://clover-hoikuen.jp/nursery/6518/
200210,アスクもんなか,private,東京都江東区富岡1-14-17,03-5621-7511,fifty_seven_days,b2,zero_year_old_class,https://www.nihonhoiku.co.jp/blog/monnaka/
200950,さくらさくみらい富岡,private,東京都江東区富岡2-11-14,03-5809-9239,fifty_seven_days,b2,one_year_old_class,https://www.sakura-39.jp/hoiku/tomioka/
200270,木下の保育園 富岡,private,東京都江東区富岡2-11-6,03-5908-2406,fifty_seven_days,b2,zero_year_old_class,https://www.kinoshita-hoiku.com/facility/tomioka
100040,古石場,public,東京都江東区古石場2-14-1-102,03-3643-0593,fifty_seven_days,b,one_year_old_class,https://www.city.koto.lg.jp/280313/kodomo/hoiku/kuritsu/furuishibahoiku.html
200810,ポピンズナーサリースクール越中島,private,東京都江東区越中島2-1-32,03-5875-8030,one_year,b2,,https://www.poppins.co.jp/nursery/room/detail/10212/
210090,小規模保育室ラッキーココナッツ,sho_a,東京都江東区千石2-8-4,03-3699-0808,fifty_seven_days,f,one_year_old_class,https://luckycoconutkoto.wixsite.com/lucky
201170,キッズスマイル江東千石,private,東京都江東区千石2-10-6,03-6666-7846,one_year,b2,,https://www.kidsgarden.co.jp/nursery/guide/kotosengoku/
206010,文化教養学園,nintei_chi,東京都江東区石島6-7,03-3647-0166,fifty_seven_days,d2,one_year_old_class,http://www.bunkakyoyogakuen.com/
100470,千田,public_private,東京都江東区千田22-8,03-5683-1266,fifty_seven_days,b2,one_year_old_class,https://www.miwanokai.jp/senda/
200960,マミー保育園扇橋,private,東京都江東区扇橋1-21-5,03-5683-0455,one_year,b2,,https://www.mommy-int.co.jp/nursery/oogibashi/
210080,まかな,sho_a,東京都江東区扇橋2-24-1,03-6810-5508,one_year,b,,https://kids-home.jp/nursery/makana/
100410,猿江,public_private,東京都江東区猿江1-8-10,03-3631-7315,fifty_seven_days,b,one_year_old_class,http://www.koto-sarue.com/
200820,キッズスマイル江東猿江,private,東京都江東区猿江2-6-3,03-6240-2181,fifty_seven_days,b2,zero_year_old_class,https://www.kidsgarden.co.jp/nursery/guide/kotosarue/
210050,スマイルクラブナーサリー住吉,sho_a,東京都江東区猿江2-16-5,03-5625-3600,fifty_seven_days,e,zero_year_old_class,http://www.smileclub.jp/sumiyoshi/
200600,グローバルキッズ住吉園,private,東京都江東区住吉1-7-8,03-3631-8011,fifty_seven_days,b2,zero_year_old_class,https://www.gkids.co.jp/facilities/nursery_093.html
210170,キッズフィールド住吉駅前園,sho_a,東京都江東区住吉2-8-9,03-5669-0355,fifty_seven_days,d,zero_year_old_class,http://www.japan-future-aid.com/tokyo/sumiyoshiekimae.html
200050,めばえ,private,東京都江東区住吉2-25-9,03-3634-0166,fifty_seven_days,a,one_year_old_class,http://www.mebae.or.jp/
100440,毛利,public_private,東京都江東区毛利2-1-14,03-3631-0692,fifty_seven_days,b2,one_year_old_class,http://www.koto-mouri.com/
200060,アゼリア,private,東京都江東区木場1-3-5,03-3645-0484,four_months,a,one_year_old_class,http://azeriya.or.jp/hoikuen/
200610,スマイルクラブナーサリー木場,private,東京都江東区木場1-4-5,03-5665-5033,fifty_seven_days,b,zero_year_old_class,http://www.smileclub.jp/kiba/
201180,タムスわんぱく保育園木場,private,東京都江東区木場2-13-17,03-5809-8510,one_year,a2,,https://kiba-hoikuen.tums.jp/
200700,MIWA木場公園,private,東京都江東区木場4-1-65,03-5646-8355,fifty_seven_days,b2,zero_year_old_class,https://www.miwanokai.jp/kibakoen/
200460,グレース,private,東京都江東区木場5-8-3,03-5245-6006,fifty_seven_days,d,one_year_old_class,http://www.gracehoikuen.com/top.html
200625,スターチス（分園）,private,東京都江東区木場5-11-15,03-5809-9969,three_years,b,,https://statice-ns.or.jp/?page_id=69
200620,スターチス（本園）,private,東京都江東区東陽 3-27-32,03-6666-3883,four_months,b,one_year_old_class,https://statice-ns.or.jp/?page_id=67
200970,さくらさくみらい 東陽二丁目,private,東京都江東区東陽2-4-8,03-6666-5739,one_year,b2,,https://www.sakura-39.jp/hoiku/toyo-nichome/
200630,マミー保育園東陽町,private,東京都江東区東陽2-2-14,03‐3699‐8201,one_year,b2,,https://www.mommy-int.co.jp/nursery/toyocho/
200380,ほっぺるランド東陽町,private,東京都江東区東陽2-4-46,03-5635-6608,fifty_seven_days,b2,zero_year_old_class,https://hoppel-land.com/introduces/173-2
100140,東陽,public,東京都江東区東陽3-22-1-101,03-3647-8458,fifty_seven_days,b,one_year_old_class,https://www.city.koto.lg.jp/280319/kodomo/hoiku/kuritsu/toyohoikuen.html
200390,テンダーラビング保育園東陽,private,東京都江東区東陽3-23-21,03-6458-7631,fifty_seven_days,b2,zero_year_old_class,https://www.tenderlove.co.jp/service/facilities/lodmn/introduction/toyo/
200980,さくらさくみらい 東陽町,private,東京都江東区東陽5-28-8,03-6666-6539,fifty_seven_days,b2,one_year_old_class,https://www.sakura-39.jp/hoiku/toyocho/
220010,Kid's Patio 江東おひさま園,sho_a,東京都江東区東陽5-31-21,03-5606-8785,fifty_seven_days,f,one_year_old_class,https://www.kaede-kp.com/%E5%9C%92%E7%B4%B9%E4%BB%8B/%E3%81%8B%E3%81%88%E3%81%A7%E3%82%B0%E3%83%AB%E3%83%BC%E3%83%97%E3%81%AE%E4%BF%9D%E8%82%B2%E5%9C%92/kid-s-patio%E6%B1%9F%E6%9D%B1%E3%81%8A%E3%81%B2%E3%81%95%E3%81%BE%E5%9C%92/
100460,塩浜,public_private,東京都江東区塩浜1-3-10,03-3647-0480,fifty_seven_days,b2,one_year_old_class,http://shiohama.ncf-kids.com/
200420,聖華しおかぜ,private,東京都江東区塩浜1-4-46,03-5632-8771,fifty_seven_days,b2,one_year_old,https://seika-group.com/shiokaze/
100060,塩崎,public,東京都江東区塩浜2-6-3,03-3645-6014,fifty_seven_days,b,one_year_old_class,https://www.city.koto.lg.jp/280314/kodomo/hoiku/kuritsu/shiozakihoiku.html
200830,LIFE SCHOOL塩浜こどものいえ,private,東京都江東区塩浜2-6-2,03-6666-5444,fifty_seven_days,b2,one_year_old,https://lifeschool.jp/publics/index/107/
201150,キッズスマイル江東塩浜,private,東京都江東区塩浜2-14-5,03-6458-7637,one_year,b2,,https://www.kidsgarden.co.jp/nursery/guide/kotoshiohama/
200040,深川愛隣,private,東京都江東区枝川2-25-10,03-3645-9900,one_year,a,,https://www.airin-gakuen.com/blank
200220,愛隣シャローム,private,東京都江東区枝川3-6-15,03-3645-5858,fifty_seven_days,a2,one_year_old_class,https://www.airin-gakuen.com/blank-1
200190,シンフォニア,private,東京都江東区豊洲2-5-3,03-5547-0083,fifty_seven_days,a2,zero_year_old_class,https://www.miwanokai.jp/sinfonia/about/about.html
200570,TKチルドレンズファーム豊洲校,private,東京都江東区豊洲3-4-8,03-6802-7081,fifty_seven_days,b2,zero_year_old_class,https://www.tk-farm.com/
200690,TKチルドレンズファーム豊洲第二校,private,東京都江東区豊洲3-4-8,03-5547-4431,fifty_seven_days,b2,zero_year_old_class,https://www.tk-farm.com/
200160,蓮美幼児学園とよすナーサリー,private,東京都江東区豊洲3-5-21,03-3534-4152,fifty_seven_days,d2,zero_year_old_class,https://renbi.com/toyosu
200230,蓮美幼児学園第2とよすナーサリー,private,東京都江東区豊洲3-5-3,03-3532-4152,one_year,d2,,https://renbi.com/toyosu2
200520,アスク豊洲,private,東京都江東区豊洲3-6-8,03-5560-0220,fifty_seven_days,b2,zero_year_old_class,https://www.nihonhoiku.co.jp/blog/toyosu/
200990,さくらさくみらい 豊洲,private,東京都江東区豊洲4-1-8,03-6204-9239,fifty_seven_days,b2,one_year_old_class,https://www.sakura-39.jp/hoiku/toyosu/
200340,日生豊洲駅前保育園ひびき,private,東京都江東区豊洲4-1-24,03-6204-9771,fifty_seven_days,b2,zero_year_old_class,https://www.merhalsa.jp/hoikuen/nursery/toyosu-ekimae/
100430,豊洲,public_private,東京都江東区豊洲4-8-12,03-3533-5427,fifty_seven_days,b2,one_year_old,http://www.toyosuhoikuen.net/
200180,ゆらりん豊四,private,東京都江東区豊洲4-10-1-106,03-3532-1044,fifty_seven_days,b2,zero_year_old_class,https://hoiku.lifesupport.co.jp/yurarin-toyoyon/
210010,おうち保育園とよす,sho_a,東京都江東区豊洲4-10-4-106,03-5534-8824,fifty_seven_days,b,one_year_old_class,https://mirai.florence.or.jp/ouchi/toyosu/
200170,ひまわりキッズガーデン豊洲,private,東京都江東区豊洲4-11-20-138,03-3532-4131,fifty_seven_days,a2,zero_year_old_class,https://himawari-fukushikai.org/childcare/room/toyosu/
200405,江東湾岸サテライトナーサリースクール（分園）豊洲キャンパス,private,東京都江東区豊洲5-5-1,03-5547-4288,fifty_seven_days,d2,one_year_old,http://kwsns.tksg.ed.jp/
200400,江東湾岸サテライトナーサリースクール（本園）有明キャンパス,private,東京都江東区有明3-7-26,03-6457-2707,fifty_seven_days,d2,one_year_old,http://kwsns.tksg.ed.jp/
200350,キッズポケット豊洲,private,東京都江東区豊洲5-5-25,03-6204-9778,fifty_seven_days,b2,zero_year_old_class,http://www.kids-pocket.com/h_kids_toyosu.html
200580,グローバルキッズ豊洲五丁目,private,東京都江東区豊洲5-6-29,03-5166-9888,one_year,b2,,https://www.gkids.co.jp/facilities/nursery_095.html
200510,あい保育園豊洲,private,東京都江東区豊洲5-6-52,03-6204-2205,fifty_seven_days,a2,zero_year_old_class,https://aigran.co.jp/nursery_list/1-1265/
200430,小学館アカデミーしんとよす,private,東京都江東区豊洲6-2-10,03-3536-1700,fifty_seven_days,a2,zero_year_old_class,https://www.shopro.co.jp/hoiku/shisetsu/shintoyosu/
205020,豊洲めぐみこども園,nintei_yo,東京都江東区豊洲6-2-30,03-5547-9008,fifty_seven_days,b,one_year_old_class,http://www.megumi.ed.jp/toyosu-top.html
100080,東雲,public,東京都江東区東雲1-8-5-101,03-3531-9575,one_year,b,,https://www.city.koto.lg.jp/280315/kodomo/hoiku/kuritsu/shinonomehoiku.html
200140,YMCAオリーブ,private,東京都江東区東雲1-8-18,03-5166-0596,fifty_seven_days,d2,one_year_old_class,https://www.tokyoymca.org/childcare/olive/
200455,江東湾岸サテライトスマートナーサリースクール（分園） 東雲キャンパス,private,東京都江東区東雲1-9-10,03-3520-9777,fifty_seven_days,d2,one_year_old_class,http://smart.tksg.ed.jp/
200450,江東湾岸サテライトスマートナーサリースクール（本園） テニスの森キャンパス,private,東京都江東区有明1-5-22,03-6380-7411,fifty_seven_days,d2,one_year_old_class,http://smart.tksg.ed.jp/
200130,YMCAキャナルコート,private,東京都江東区東雲1-9-14-104,03-3615-1967,fifty_seven_days,a2,one_year_old_class,https://www.tokyoymca.org/childcare/canal/
210020,おうち保育園しののめ,sho_a,東京都江東区東雲1-9-16,03-5534-8697,fifty_seven_days,b,one_year_old_class,https://mirai.florence.or.jp/ouchi/shinonome/
200150,ひまわりキッズガーデン東雲,private,東京都江東区東雲1-9-18-203,03-5546-0102,fifty_seven_days,d2,zero_year_old_class,https://himawari-fukushikai.org/childcare/room/shinonome/
205010,しののめYMCAこども園,nintei_yo,東京都江東区東雲1-9-46,03-5547-5388,fifty_seven_days,a2,one_year_old_class,http://tokyo.ymca.or.jp/childcare/shinonome/
200330,東雲キャナルコート ナーサリースクール,private,東京都江東区東雲1-9-51,03-5859-5547,fifty_seven_days,d2,one_year_old,http://scns.tksg.ed.jp/
201000,グローバルキッズしののめ園,private,東京都江東区東雲1-10-14,03-3520-8310,one_year,b2,,https://www.gkids.co.jp/facilities/nursery_168.html
200590,みんなのみらいをつくる保育園 東雲,private,東京都江東区東雲2-1-22,03-6380-7421,fifty_seven_days,a2,one_year_old_class,https://mirai.florence.or.jp/minnanomirai/shinonome/
200260,ナーサリールームベリーベアー東雲,private,東京都江東区東雲2-3-17,03-3527-7905,fifty_seven_days,b2,one_year_old_class,https://ness-corpo.co.jp/nursery/shinonome/
